months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,fraud_reported,bind_year,bind_month,bind_quarter,bind_day_of_week,incident_year,incident_month,incident_quarter,incident_day_of_week,policy_duration_days,is_weekend_incident,is_night_incident,deductable_premium_ratio,umbrella_limit_ratio,capital_net,capital_total,has_capital_gains,has_capital_loss,claim_ratio_injury,claim_ratio_property,claim_ratio_vehicle,claim_consistency,age_group,is_senior,vehicle_age,vehicle_age_sq,total_injuries_and_damage,has_bodily_injuries,has_witnesses,witness_ratio,report_completeness,authorities_contacted_binary,police_report_available_binary,property_damage_binary,policy_csl_encoded,incident_severity_encoded,is_high_risk_state,collision_type_is_collision,is_high_risk_occupation,education_level_encoded,outlier_count,age_is_outlier,policy_annual_premium_is_outlier,total_claim_amount_is_outlier,injury_claim_is_outlier,property_claim_is_outlier,vehicle_claim_is_outlier
187,37,1000,1412.06,0,60100,0,21,1,0,3,57700,5770,5770,46160,2000,0,2013,8,3,3,2015,1,1,4,526,0,0,0.7076840332328422,0.0,60100,60100,1,0,0.09999826692778288,0.09999826692778288,0.799986135422263,0.9999826692778289,35-45,0,24,576,1,0,1,1.5,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0
243,44,500,809.11,0,33200,0,4,3,2,1,51400,5140,10280,35980,1996,0,1997,12,4,3,2015,1,1,1,6242,0,1,0.6172001333152288,0.0,33200,33200,1,0,0.09999805451255812,0.19999610902511625,0.6999863815879068,0.9999805451255812,35-45,0,28,784,5,1,1,0.25,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
24,33,1000,1252.28,0,0,-45200,0,1,2,1,46800,4680,9360,32760,2002,0,1996,1,1,4,2015,1,1,5,6945,1,1,0.7979062938848461,0.0,45200,-45200,0,0,0.09999786329351937,0.19999572658703874,0.6999850430546356,0.9999786329351937,25-35,0,22,484,3,1,1,0.5,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0
215,42,500,1848.81,0,0,-49000,20,3,2,2,68520,11420,5710,51390,2003,1,2008,10,4,1,2015,2,1,4,2292,0,0,0.270298030608549,0.0,49000,-49000,0,0,0.16666423432232455,0.08333211716116228,0.7499890544504605,0.9999854059339472,35-45,0,21,441,5,1,1,0.5,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0
85,30,1000,796.35,0,72400,-77000,9,3,2,1,58960,5360,10720,42880,2004,0,2001,12,4,6,2015,2,1,4,4821,0,0,1.2541543864049665,0.0,149400,-4600,1,0,0.0909075490578518,0.1818150981157036,0.7272603924628144,0.9999830396363698,25-35,0,20,400,5,1,1,0.25,0,0,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0
310,48,500,1516.34,0,11000,0,11,4,0,2,59400,13200,6600,39600,1996,1,1999,8,3,4,2015,1,1,6,5630,1,0,0.3295240354831482,0.0,11000,11000,1,0,0.22221848117035067,0.11110924058517534,0.666655443511052,0.999983165266578,45-55,0,28,784,4,0,1,0.4,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
297,48,1000,1464.73,0,54900,-36700,17,3,0,0,51480,5720,5720,40040,2013,0,2009,6,2,0,2015,1,1,6,2043,1,0,0.6822538939640997,0.0,91600,18200,1,0,0.11110895281754433,0.11110895281754433,0.7777626697228104,0.9999805753578991,45-55,0,11,121,3,0,0,0.0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0
108,29,1000,1337.92,0,71400,0,4,3,2,2,61380,11160,5580,44640,2012,0,2007,12,4,1,2015,2,1,0,2638,0,1,0.7468706121351537,0.0,71400,71400,1,0,0.18181521969339046,0.09090760984669523,0.7272608787735618,0.9999837083136476,25-35,0,12,144,5,1,1,0.5,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
46,41,2000,998.19,0,43700,-66300,23,3,1,3,78600,13100,19650,45850,2004,1,2010,11,4,1,2015,1,1,4,1543,0,1,2.0016213132637435,0.0,110000,-22600,1,0,0.1666645462525922,0.24999681937888832,0.5833259118840727,0.9999872775155533,35-45,0,20,400,4,1,1,0.75,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0
286,41,1000,1298.85,0,71300,-70300,16,3,1,3,54450,6050,12100,36300,2007,0,1998,12,4,0,2015,1,1,6,5872,1,0,0.7693195368696388,0.0,141600,1000,1,0,0.11110907054048594,0.22221814108097188,0.6666544232429157,0.9999816348643735,35-45,0,17,289,4,1,1,0.75,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0
188,37,500,1457.21,0,46300,0,6,1,2,0,45000,5000,5000,35000,2003,0,1994,9,3,5,2015,1,1,5,7420,1,0,0.34288614122794386,0.0,46300,46300,1,0,0.1111086420301771,0.1111086420301771,0.7777604942112397,0.999977778271594,35-45,0,21,441,3,1,0,0.0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0
80,27,500,795.31,0,0,-51000,16,3,1,3,40810,3710,7420,29680,2000,1,2014,9,3,2,2015,2,1,3,148,0,0,0.6278961710891487,0.0,51000,-51000,0,0,0.09090686334566661,0.18181372669133322,0.7272549067653329,0.9999754968023327,25-35,0,24,576,4,1,1,0.75,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0
198,36,1000,1096.39,0,0,0,11,3,1,3,49410,5490,5490,38430,2015,0,2001,2,1,4,2015,1,1,0,5092,0,0,0.9112530640884279,0.0,0,0,0,0,0.11110886239906094,0.11110886239906094,0.7777620367934266,0.9999797615915484,35-45,0,9,81,4,1,1,0.75,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0
